index,title,date,stock
569638,Google Lands Cloud Deal With Defense Department,2020-05-20 09:58:00-04:00,GOOGL
569639,Dell Technologies Cloud And Google Cloud Launch Hybrid Storage Solution,2020-05-20 08:13:00-04:00,GOOGL
569640,Global Music Revenue Set To Double By 2030 Despite Pandemic Impact: Goldman Sachs Report,2020-05-20 07:06:00-04:00,GOOGL
569641,Google Drops Future AI Oil Extraction Projects,2020-05-20 05:27:00-04:00,GOOGL
569642,Spotify Scoops Up Joe Rogan And His Hugely Popular Podcast,2020-05-19 16:09:00-04:00,GOOGL
569643,"Walmart Earnings Look Strong Across the Board, But Home Depot Down After Missing on EPS",2020-05-19 10:08:00-04:00,GOOGL
569644,"Here's How Much Investing $1,000 In The 2015 Fitbit IPO Would Be Worth Today",2020-05-18 13:45:00-04:00,GOOGL
569645,"Ubisoft Sues Apple, Google Over Alibaba's Rainbow Six ""Ripoff""",2020-05-16 17:12:00-04:00,GOOGL
569646,"Q1 13F Roundup: How Buffett, Einhorn, Ackman And Others Adjusted Their Portfolios",2020-05-16 10:15:00-04:00,GOOGL
569647,"'Justice Department, State Attorneys General Likely to Bring Antitrust Lawsuits Against Google' -WSJ, Citing People Familiar With Matter",2020-05-15 16:29:00-04:00,GOOGL
569648,13F From Appaloosa Shows Cut Stake In Alphabet From 440K To 361K Shares,2020-05-15 16:11:00-04:00,GOOGL
569649,"Soros 13F Shows Cut Alphabet Stake From 65,750 To 32,875",2020-05-15 16:07:00-04:00,GOOGL
569650,"Hedge Fund Duquesne 13F Shows Increased Stakes In Facebook, Alibaba, Netflix, Amazon, Google, Alnylman",2020-05-15 14:43:00-04:00,GOOGL
569651,"Tiger Global Raises Stake in Alibaba to 4.5M Shares, Lower Stake in Alphabet to 30.5K Share",2020-05-15 13:20:00-04:00,GOOGL
569652,2 Google Pixel Lead Members Including 'Camera Mastermind' Quit Ahead Of 4A Model Launch,2020-05-14 04:44:00-04:00,GOOGL
569653,"Another Fundraise, As Self-Driving Startup Waymo's Investment Hits $3B In 2020",2020-05-13 17:57:00-04:00,GOOGL
569654,Apple Plans To Bring Employees Back To Office Even As Tech Peers Hold Off,2020-05-13 15:15:00-04:00,GOOGL
569655,"VMWare Announces Creation Of Next-Gen SOC Alliance With Splunk, IBM Security, Google Cloud's Chronicle, Exabeam And Sumo Logic",2020-05-13 08:02:00-04:00,GOOGL
569656,Twitter Will Allow Employees To Work From Home For As Long As They Want,2020-05-13 03:30:00-04:00,GOOGL
569657,"Google, On April 28, Said 'We're Adding Roughly 3 Million New Users Every Day For Google Meet'",2020-05-12 13:10:00-04:00,GOOGL
569658,"Zoom Shares Ticking Lower; Google Says Have Re-Engineered Google Meet, Originally Built For Secure Business Meetings, To Make It Free And Available To All",2020-05-12 13:05:00-04:00,GOOGL
569659,"Citigroup Maintains Buy on Alphabet, Raises Price Target to $1600",2020-05-12 12:12:00-04:00,GOOGL
569660,Not Just Fun And Games: How Esports Could Offer Potential Investment Opportunities,2020-05-12 06:43:00-04:00,GOOGL
569661,Amazon Releases AI-Based Enterprise Search Solution Kendra,2020-05-12 05:41:00-04:00,GOOGL
569662,"Twitter To Remove Coronavirus Misinformation, Including That Tweeted By Trump",2020-05-12 03:50:00-04:00,GOOGL
569663,"Benzinga Pro's Top 5 Stocks To Watch For Mon., May 11, 2020: SNE, CNK, MRNA, WORK, KMX",2020-05-11 07:57:00-04:00,GOOGL
569664,Former Google CEO Eric Schmidt Cut Last Ties With The Company: Report,2020-05-11 05:36:00-04:00,GOOGL
569665,Bored Of Reheated Pasta? Benzinga's Top Foods To Order Or Cook Has You Covered,2020-05-10 16:30:00-04:00,GOOGL
